97,"Kiritsugu Emiya","Success ","I was reckless when I was young. I educated myself by cursing the heartlessness of the world. The world was cruel - so I made myself more heartless and used that as a weapon, trying to follow through on my ideals.",0
99,"Yukino Yukinoshita","Success ","I think, if you want to improve yourself, you should challenge your own limits.",0
103,"Minori Kushieda",Life,"If you trip while running down a hallway, you'll get a nosebleed. If you trip in life, you'll cry.",0
104,"Kiritsugu Emiya",Uncategorized,"If I can, I'd prefer nobody to be sad.",0
105,"Gintoki Sakata",Uncategorized,"Nobody can take anybody's place. There isn't a person in this world that could take your place. It doesn't matter if you were based on me or have the same face.",0
109,"Hinata Hyuuga",Motivational,"You make mistakes... but... because of those mistakes... you get the strength to stand up to them. That's why I think you are truly strong.",0
110,"Taiga Aisaka",Uncategorized,"Well, I'd better get back to my seat. The unmarried woman with her unmarried face is about to come to start the unmarried homeroom.",0
114,"Eru Chitanda",Happiness,"You don't have to worry about being special or normal compared to everyone else! It doesn't matter who it is. So as long as they think you're special, then you're special.
",0
115,"Shirou Emiya",Inspirational,"...Yes, the desire to protect something... is, at the same time, none other than the wish for something to violate it.",0
117,Saber,Wisdom,"Of what worth is a king who fails to protect the powerless?
",0
127,"Koyomi Araragi",Life,"How can someone who seeks a reason from another person be right? While you're forcing that reason on someone else, how can you take responsibility?",0
128,"Lelouch Lamperouge",Uncategorized,"Don't mistake borrowed power for your own ability!
",0
132,"Gintoki Sakata",Life,"What is right? What is wrong? In this mixed up world, deciding what is right and wrong is not easy. You can't just go by somebody else's rules. If you let yourself be controlled like that, you'll just become a puppet that can't make decisions on it's own. You have to live by your rules.",0
135,"Lucy Heartfilia",Motivational,"What's the point of magic to begin with... if I can't use it to protect my friends?",0
137,"Shinobu Oshino",Wisdom,"It's not good to expect too much, but you can't do anything if you're being overly pessimistic. If you just wait thinking it's useless, nothing will come of it.
",0
138,"Lelouch Lamperouge",Motivational,"Perhaps this is what I have always wished for since that day. The loss and destruction of all. That's right, one must destroy before creating. In that case, if my conscience becomes a hindrance to me, then I will simply erase it. I have no other choice but to move forward...therefore!",0
141,"Mayoi Hachikuji",Uncategorized,"I know love. The convenience store was selling it. For 298 yen.",0
143,"Gintoki Sakata",Life,"I don't have anything anymore, but if there's something on the floor, I'll pick it up.",0
144,"Sakura Haruno",Uncategorized,"It's always like this. The only things I can ever do for Naruto are the little things anyone could do...",0
145,"Sakura Haruno",Uncategorized,"I'm the one who made Naruto suffer the most... I've just been getting it wrong. Just been messing it up... I don't want to get it wrong anymore...don't want to screw it up anymore.",0
146,"Sakura Haruno",Uncategorized,"A smile is the easiest way out of a difficult situation.",0
147,"Sakura Haruno",Uncategorized,"I've always considered myself to be a true ninja...but those were just empty words, because Sasuke and Naruto were always in the lead! But now it's my turn to take the lead, and all of you can watch me from the background!",0
148,"Ami Kawashima",Uncategorized,"It's difficult to like me when I'm being myself.",0
149,"Ami Kawashima",Positive,"As long as there is at least one person who understands me, I'll be okay.",0
151,"Koyomi Araragi",Uncategorized,"It isn't just ""others"". Not ""others"". It's my Family. I'll force my ideals on my family. And since they're family, I'll lie to them. I'll deceive them. I'll cause them trouble. I'll make them worry. I'll owe them things, things I'll never be able to repay. However, I think that's okay. If you say that being an impostor is evil, then I will shoulder the burden of that evil. If lying is a bad thing, then I'm fine being the bad person. I don't need them to like me. I'm fine with being the worst kind of person.",0
152,"Misaki Ayuzawa",Life,"I'm a little grateful to you. I wonder if I'll forget these feelings too.",0
154,"Houtarou Oreki",Inspirational,"I don't care if no one likes me. I wasn't created in this world to entertain everyone.
",0
156,"Banri Tada",Motivational,"Accident or amnesia, you can't rewind your life and start again. If you struggle, you'll just hurt yourself, and the people around you.",0
157,"Banri Tada",Life,"You got in an accident. You couldn't do anything afterward. It's okay to feel ashamed about that. But don't run from that shame! You have to carry that humiliation with you and live on!",0
158,"Banri Tada",Love,"Why do you still want to be my friend? Is it because you feel comfortable being with me? Because I understand your awkward and useless self, and yet still love you? Quit acting so spoiled. When you rejected me, you lost the right to want those things!",0
